{'loss': 3.7188, 'grad_norm': 11.001763236662297, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.2188, 'grad_norm': 10.384586085623196, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 3.7031, 'grad_norm': 5.808799965485237, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 2.4219, 'grad_norm': 3.4408753985910847, 'learning_rate': 2e-05, 'epoch': 0.0}
{'loss': 2.25, 'grad_norm': 4.96836410978532, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.9688, 'grad_norm': 12.568321646174498, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.5938, 'grad_norm': 5.416172670498714, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.5234, 'grad_norm': 3.4418254814940212, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.4844, 'grad_norm': 5.650700673578042, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.7969, 'grad_norm': 8.416330966969864, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.4688, 'grad_norm': 12.086271047872582, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 3.3438, 'grad_norm': 6.4285554109298415, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 1.5703, 'grad_norm': 2.8926653557445206, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.7344, 'grad_norm': 3.1490306202517213, 'learning_rate': 2e-05, 'epoch': 0.01}
{'loss': 2.6094, 'grad_norm': 3.492203712943598, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 4.7188, 'grad_norm': 28.266293086548743, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 2.7812, 'grad_norm': 6.491797835075133, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 2.7031, 'grad_norm': 8.35940304412786, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 4.25, 'grad_norm': 9.927606949193597, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 4.75, 'grad_norm': 10.331389333946964, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.1953, 'grad_norm': 2.719367784210525, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 1.7422, 'grad_norm': 6.084347139295283, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.3594, 'grad_norm': 11.121361776367456, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 3.7188, 'grad_norm': 30.99642361299959, 'learning_rate': 2e-05, 'epoch': 0.02}
{'loss': 2.8906, 'grad_norm': 9.695650640358842, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 2.0938, 'grad_norm': 4.13532587578522, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.1406, 'grad_norm': 8.861440836347299, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 4.4375, 'grad_norm': 38.425063721738006, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.5156, 'grad_norm': 9.38001852786422, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 5.0625, 'grad_norm': 19.504686170552837, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.1719, 'grad_norm': 10.23211880832833, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.5625, 'grad_norm': 8.319028623992121, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 2.3594, 'grad_norm': 5.941676797178385, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 3.1562, 'grad_norm': 7.932228290763884, 'learning_rate': 2e-05, 'epoch': 0.03}
{'loss': 2.9688, 'grad_norm': 7.6008799795780515, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.6094, 'grad_norm': 44.99264368324512, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 2.25, 'grad_norm': 5.934817307852819, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 3.0625, 'grad_norm': 10.970658766361733, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 1.9141, 'grad_norm': 12.04865867807942, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 1.8672, 'grad_norm': 5.0730153500428505, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 5.3125, 'grad_norm': 42.2096971733415, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 2.25, 'grad_norm': 6.23352832847858, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 2.0156, 'grad_norm': 6.146496871427475, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 2.1875, 'grad_norm': 10.92216969769586, 'learning_rate': 2e-05, 'epoch': 0.04}
{'loss': 2.625, 'grad_norm': 18.102384781523497, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 1.3359, 'grad_norm': 5.902743199636254, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.6875, 'grad_norm': 13.048717777934735, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 1.8672, 'grad_norm': 5.710379808734163, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.5156, 'grad_norm': 10.625892635880373, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.9688, 'grad_norm': 10.2214345319843, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.2812, 'grad_norm': 6.727119308412303, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.2812, 'grad_norm': 6.836474443192921, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 1.4141, 'grad_norm': 3.438390849253377, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.4219, 'grad_norm': 30.35228095717622, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 2.0938, 'grad_norm': 3.729136534839794, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.5, 'grad_norm': 7.262668647723186, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.0156, 'grad_norm': 5.880454455619908, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.5469, 'grad_norm': 5.827263659120948, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.9219, 'grad_norm': 11.37110958312391, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 3.5156, 'grad_norm': 10.150050947094037, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.0625, 'grad_norm': 12.346283678488856, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.0312, 'grad_norm': 14.708355518854432, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.5625, 'grad_norm': 7.834566216972193, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.1094, 'grad_norm': 10.600279903984305, 'learning_rate': 2e-05, 'epoch': 0.06}
{'loss': 2.375, 'grad_norm': 6.6987386197721355, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 1.1797, 'grad_norm': 7.638307899324947, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 4.75, 'grad_norm': 130.2328620319986, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 1.7656, 'grad_norm': 5.1090811517201695, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.1406, 'grad_norm': 6.458278341056533, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.2344, 'grad_norm': 21.21829564095738, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 1.9141, 'grad_norm': 16.726610297521464, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 1.8203, 'grad_norm': 15.540664622457824, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.6875, 'grad_norm': 18.903383408647162, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.2812, 'grad_norm': 11.779034788367037, 'learning_rate': 2e-05, 'epoch': 0.07}
{'loss': 2.7656, 'grad_norm': 11.848917919418568, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.5, 'grad_norm': 19.251570365643115, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.1719, 'grad_norm': 6.85585336658448, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.3125, 'grad_norm': 9.456920874810141, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 1.2891, 'grad_norm': 21.295077307953715, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.2969, 'grad_norm': 10.884413578078966, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 1.7656, 'grad_norm': 11.564359339204394, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.125, 'grad_norm': 11.974889380331055, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.4531, 'grad_norm': 11.136969797890343, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.6406, 'grad_norm': 13.414824137121046, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 2.2031, 'grad_norm': 8.476396393070784, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.7188, 'grad_norm': 13.840493741532187, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 1.875, 'grad_norm': 6.091324283488181, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 1.9922, 'grad_norm': 32.2633094672524, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 1.8594, 'grad_norm': 11.798188693949601, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.8594, 'grad_norm': 70.00112475718406, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.5312, 'grad_norm': 12.675992324725993, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.375, 'grad_norm': 41.51311027077185, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.7031, 'grad_norm': 7.925677055415679, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 0.8555, 'grad_norm': 22.340989446724496, 'learning_rate': 2e-05, 'epoch': 0.09}
{'loss': 2.1406, 'grad_norm': 29.52755643203994, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.7188, 'grad_norm': 7.138625700955578, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.9062, 'grad_norm': 8.062467506798354, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.9141, 'grad_norm': 9.697050536059612, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 0.7617, 'grad_norm': 13.592912860504956, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.4375, 'grad_norm': 16.39907838847282, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.9922, 'grad_norm': 7.592306323779417, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.1094, 'grad_norm': 9.145090941693413, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 2.75, 'grad_norm': 6.705788362817072, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.5, 'grad_norm': 6.317393024959206, 'learning_rate': 2e-05, 'epoch': 0.1}
{'loss': 1.8047, 'grad_norm': 6.832256347267973, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.1406, 'grad_norm': 5.757645756167466, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.1406, 'grad_norm': 5.658583625121947, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 3.2344, 'grad_norm': 17.458873504104304, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 1.7578, 'grad_norm': 6.4443858558283, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.6094, 'grad_norm': 13.495324633285806, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 1.9453, 'grad_norm': 4.6594323075461865, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 2.0, 'grad_norm': 8.50821298924714, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 1.2422, 'grad_norm': 21.32070311954617, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 3.5, 'grad_norm': 78.24161701728303, 'learning_rate': 2e-05, 'epoch': 0.11}
{'loss': 3.4219, 'grad_norm': 20.99874054065759, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.2969, 'grad_norm': 10.938185825199708, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.5, 'grad_norm': 7.1946840958406355, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.7969, 'grad_norm': 15.566864795842083, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 4.375, 'grad_norm': 32.81989257963969, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 3.2344, 'grad_norm': 19.84400005887938, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.3438, 'grad_norm': 12.095891008476528, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.9219, 'grad_norm': 50.29328814749604, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.6875, 'grad_norm': 10.541049643599694, 'learning_rate': 2e-05, 'epoch': 0.12}
{'loss': 2.7031, 'grad_norm': 11.657885279685546, 'learning_rate': 2e-05, 'epoch': 0.12}
